model,accuracy,precision,recall,f1,roc_auc,log_loss
hist_gradient_boosting,0.7998575498575499,0.6573426573426573,0.5067385444743935,0.5722983257229832,0.8307888206699143,0.44136113358643464
random_forest,0.792022792022792,0.6010230179028133,0.633423180592992,0.6167979002624672,0.8290327546752322,0.4461254509197685
logistic_regression,0.7443019943019943,0.5105633802816901,0.7816711590296496,0.617678381256656,0.8411347369684509,0.48987696560393257
baseline_dummy,0.7357549857549858,0.0,0.0,0.0,0.5,9.524355703249618
