model,with_fe,without_fe,delta_val_pr_auc
dummy_classifier,0.2654364797728886,0.2654364797728886,0.0
hist_gradient_boosting,0.6389442658024163,0.6330375531427476,0.005906712659668689
logistic_regression,0.6413036837540055,0.6319468655567493,0.0093568181972562
random_forest,0.6274166977459377,0.6226903658591582,0.004726331886779511
