model,cv_pr_auc_mean,cv_pr_auc_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_roc_auc_mean,cv_log_loss_mean,cv_precision_mean,cv_accuracy_mean,val_pr_auc,val_recall,val_f1,val_roc_auc,val_log_loss,val_precision,val_accuracy
hist_gradient_boosting,0.6296452585779739,0.01296063816717761,0.5262936507936508,0.02359151314170936,0.5729262558572618,0.8287661214259741,0.4507971776819527,0.6291194951322009,0.7919526627218935,0.6330375531427476,0.5053475935828877,0.5575221238938053,0.8293497636208632,0.4419073894601435,0.6217105263157895,0.78708303761533
logistic_regression,0.6404510312634122,0.014821304301574493,0.7983690476190477,0.022139739923951848,0.6216285892617223,0.8430673606936931,0.4938257877092299,0.5090374171858553,0.7422485207100592,0.6319468655567493,0.8155080213903744,0.6374085684430512,0.8380634994445737,0.4953826907923251,0.5231560891938251,0.7537260468417317
random_forest,0.6402210308484045,0.015576013673111028,0.6342738095238095,0.019587273449337923,0.6134257932728276,0.8386274321556579,0.44035620827469996,0.5940080726072035,0.7879289940828402,0.6226903658591582,0.6096256684491979,0.5953002610966057,0.831481050918391,0.44611484607884483,0.5816326530612245,0.7799858055358411
dummy_classifier,0.2653254437869823,0.00047337278106509564,0.0,0.0,0.0,0.5,9.563298331171676,0.0,0.7346745562130178,0.2654364797728886,0.0,0.0,0.5,9.567300473761401,0.0,0.7345635202271115
